"pagina","texto","error"
153,"e

SA OOMTESSA SENSE BRASSOS ""

——n a OS OO Qireee——

XÒ era un comte més jugador que ses car-
tes. No tenia cap fip, p hauria fet s'upas-
tre esbrancat demunt sa creueta des cam-

panar, per tenirne un.

Un dia qu'havia perdut tot es seu cabal, p se'n
tornava a ca-seua ben ala-baxa, li comparex un
senporot que dupa mal'ombra de tot, p li diu:

—Tendreu un infant, sim promets durio'm en .
fer set anys, Y no't faltaràn doblers pus, tant jugues
p tant gastes.

(1) La'm contú la meua germana Francin'Ayna, Aquesta y la
titolada £s Poal florit, millor que de rondayes, ténen la trassa y el
tò de eczemples, trèts de qualque L/egendari de vides de Sants,
de l'Edat mitja. Com el poble les s'ha fetes seues, y de la seua
boca les recullírem, les donam entrada axí metex en el present
Aplec,
",NA
154,"SA COMTESSA SENSE BRASSOS 155
—iT'ho prometl-diu es comte, sense sebre
que's matjencava, d'encallat que se vepa.
—lIdò el m'has de dur dins un bosch que tro-
barús, en haver caminat set dies cap a n'es ponent.
— No tengues ansia, el t'hi duré.
Sa comtessa, des cap de temps, tengué una ni-
neta, sa cosa més hermosa. Valia ups per mirar.
Com va haverscumplits es sèt anps, son pare,
greu de mort li sàbia, però no tengué altre remep,
la se posa a ses anques des cavall, p ja's partit cap
a n'es ponent.
Camina caminarós, passen per devant una er-
mita de la Puríssima, p de defora vepen sa figura,
qu'era ben hermosa ben hermosa. :
Com aquella nineta la repara, diu tot d'una:
—Mon paret, dexaume devallar, p aniré a dir
ses tres Avemaries p sa Salve a la Purissimeta.
Son pare la devallà, p ella se'n entra dins s'er-
mita, p diu ses tres Avemaries p sa Salve.
Com acabava, la Puríssima obri sa boca, p li
diu:
—Acostet, fieta meua estimada.
Sa nina s'hi acosta tremolant.
—No hajes por de res, (diu la Puríssima), que .
jo som la reyna del cel, P som ta mare. Mentres
sies una bona atloteta, me tendrés en es teu costat,
—Vos promet que hu seré, (diu s'atlotona).
La Purissima se treu un rosari ben preciós, P
e hi dona, dient:
",NA
155,"156 RONDAYES MALLORQUINES

—No't eanses map de passarlo: amb ell arron-
sarés tots es teus inimichs,

Aquella nineta pren es rosari, surt de s'ermi-
ta, Son pare la torna posar a ses anques des cavall,
p de d'allú, camina caminarós. Y s'atlotona passa
qui passa'l Rosari, p com més resava, més ganes
li venien de resar.

—qVeam si no acabaràs mapl (depa son pare).

Des cap des sèt dies de caminar cap a n'es po-
nent, se trobaren dins un bosch per ont no passa-
va ningú map.

Al punt los comparex es senporot, Q llavò sí
que hu trobé's comte que'n dupa de mal'ombra.

No hi poria consentir a haverli de dexar aque-
lla fieta des seu cor, però no pogué passar per
altre vent, V se'n anú plorant.

Era sanch viva lo que li ratjaven ets ups, P
ses llàgrimes li botegaven ses galtes.

S'atlotona també plorava, però resant amb una
bona devoció P tota aconhortada.

Es senporot la se mira de daltabax, la veu que
no para de resar p de fer córrer llàgrimes p G/o-
riapatris des rosari, V llavò sí que'n va fer de ma-
la cara. No eren tot berbes.

—IjQue tant de resarl (diu, des cap d'una esto-
na). ija m'has fet es cueh de s'orepa malaltl

Ella abaxa més la veu, que casi no la sentien,
9 hala, petital vengue Avemaries py Parenosiros
v Gloriapatris.
",NA
156,"SA COMTESSA SENSE BRASSOS 157

Es senporot, com veu allò, tot enforiolat, li pe-
ga grapada a n'es rosari, le hi pren, p le hi tira
sèt hores llunp. l

S'atlotona, com se veu sense rosari, en lloch
d'aturarse de resar, va prendre sa fúa més forta, p
llavò sí que depa arreu, p contava amb sos dits.

Es senporot aquí cupdú a fer es tro: se treu l
s'espasa, y li tapa's brassos fins en es colsos.

S'angelet no contà pus amb sos dits perque .
no'n tenia: dupa es conte de cap, Y li vepen es l
morrets que se remenaven ben depressa.

Es Parenostros y ses Avemaries li brollaven
rabents des cor, Ç se'n anaven cap al cel com a
Hetxes bronint.

Es senporot, veent que no hi tenia res que fer
amb aquella atlotona, que tot quant e-hi posaria
perdria, fogí corrents, més que depressa, tent Ela-
mada p flastomant.

Ella quedà tota solina dins aquell bosch, 9 pas-
saren dies Ç més dies, p setmanes, p mesos, P
anps, p allà vivia de ses herbetes p de sa mica de
Írupta que poria abastar amb ses dents.

Com no tenia més roba que sa que dupa de-
munt, arribú a anar mitx despupada. l

Un dia, es senpor d'aquell bosch, qu'era un
comte, encara fadrí, passa cassant.

Ella sent s'estabó, y d'empegueida qu'estava
de que la vessen d'aquella manera, s'amaga dins
una mata,
",NA
157,"158 RONDAYES MALLORQUINES

Es criats des comte senten mica de trepitx p
noten qu'es brancons d'aquella mata se bellu-
guen.

Se'n hi van correns amb sos cans, no sabent
quina cassa poria esser aquella.

Com veuen qu'es una atlota mitx despuyada,
se'n van corrents a dirho a n'es senyor.

Es senpor se'n hi va, p li tira Sa capa, perque
la s'abrich p surta de sa mata.

Com la s'hagué abrigada, surt, p es comte
se'n compatí Y se'n enamoró tant fort, que la se
posa a ses anques des cavall, p cap a ca-seua.

L'entrega en mans de sa mare, comanantli que
la rentassen p la vestissen de ses robes millors
que hi havia a la casa.

Com la tengueren rentada p enllestida, tothom
va quedar astorat de lo hermosa qu'era p agracia-
da. Corria's setze anps.

Ningú n'havia vista cap map de més gentil.

—iQuina llàstima que no tenga brassosl—de-
pen tots es qui la vepen. Si'n tenia, el rep P tot
seria poch per ella.

Es comte se feu trons de que li mancassen es
brassos, p diu a sa mare que s'hi vol casar, Ç sa
mare no hi feu dos mots.

Se casaren, P se feren unes noces de pinçol
vermep, Ç un ball malept, P sarau pe' sa mare P
pe"" sa fia.

Des cap d'una temporadeta, se mou una gue-
",NA
158,"SA COMTESSA SENSE BRASSOS 159
rra. Es comte se'n hi hagué d'anar, p dexar co-
manat que, en haverhi res de nou, le hi enviassen
a dir.

Lo que hi hagué de nou des cap d'una tempo-
radeta, que sa comtessa jove tengué un infant, un
minyó com un sol, p li posaren nom Guiemet,
com son pare.

Sa seua careta dexava anar tanta resplandor,
que's vespres servia per fer llum. ay

Allà ont el tenien, ses criades hey vepen a co-

Sir.

Sa comtessa véya escriu a n'es comte:

—Tenim un nin com un sol,

Dona sa carta a un criat, es criat partex, P ca-
mina caminaràús, cap allà ont era es senyor.

Es vespre queda a un hostal, p mentres dor-
mia, e-hi comparex aquell senporot, qu'era el di-
moni (ijJesús, Sent Antonil), p li gira sa carta, p
li posa:—Sa teua dona ha tengut un mòstro: no
sabem si es animal o criatura. Tothom xerra, P
diuen qu'es més clar que s'apgo, qu'una atlota
trobada dins una mata a un bosch, no pot esser
més qu'una polissona. Si no la trepm defora abans
de més raons, mos camparem malament.

Es comte, com lletgex axò, se'n du un enutx
ferest.

Agala sa ploma, p escriu:

—Sia lo que sia lo qu'ella ha tengut, guar- —— .
dauho fins que jo venga, p a ella teniula tan rego-
sitjada com si fos jo metex.
",NA
159,"160 RONDAYES MALLORQUINES

Partex es criat, p, la mala Sort, torna roman-
dre en aquell metex hostal.

Com dormia, el dimoni e-hi comparex, Q de
bell nou li gira sa carta, V li posa: -— Que se'n va-
ja més que depressa aquexa gran polissona amb
s'infant o lo que sia. Si en jo venir los trob dins
sa casa, a tots vos trech defora.

Es criat entrega Sa carta a sa comtessa vépa,
que va romandre com una benepta.

E-hu vepa, P no hu crepa que's seu fip hagués
escrit allò,

Agata's criat, Y li demana:

—i Y es comte t'ha donada aquesta carta2 g Ell
metex la t'ha donada

— Sí, senyora, ell metex.

Llavò sí que hi romangué confusa la dona.

Lo que fa ella, remet a n'es seu fip en se-
guida:

—Me dius en sa carta que trega delora s'infant
Y Sa mare, P que, Si en venir los hi trobes, mos
treuràs defora a tots. Vetx qu'es sa seua lletra,
però no puch creure que sies tu qu'hajes escrit
axò. No mouré cap peu, que no tenga altra con-
testació teua. Una atlota tant bona atlota, una
santa, Y un angelet tan hermós, un angelet del
cel, haverlos de treure deforal No e-hi ha dona
per ferhol

Entrega sa carta a n'es metex criat, que partí
al acte cap allà ont era's comte.
",NA
160,"SA COMTESSA SENSE BRASSOS 161
Camina caminarús, se fa's vespre, p roman en
es metex hostal.
Com dormia, e-hi comparex es senyorot, p fa
sa metexa endemesa. Gira sa carta Y posa: l
—Estich empegueida de sortir a n'es carrer.
Tota sa gent me signa amb so dit perque consent a
tenir dins sa casa una polissona com sa teua dona,
que Deu ja la castigú llevantli es brassos, p enca-
ra no ha bastat: l'ha haguda de castigar, fentli né-
Xer un mòstro tant terest. Sobre tot, si ella ha d'es-
tar pus aquí dins, no hi estaré jo: ja estich rede-
cansada do que sa gent m'haja de posar sa llengo
demunt, essentne ben neta, com en som.
Com es comte veu axò, sí que s'enutjà fort.
—Veam si'l dimoni e-hi haurú bulatl-depa re-
menant es cap p amb més ganes de ferho a tochs
que d'altra cosa. ei
Agala sa ploma, p remet al acte:
-—No compreneh lo que'm deps. Vatx dir que
fos lo que fos s'infant, el me guardússeu a ell p sa
mare, tant bé com si fos jo metex. Axò vatx dir,
V axò dich. No vup sebre qu'es lo qu'es nat: lo
que vup, que m'ho guardeu, P vos valga per ve-
gada.
Es criat partex amb sa carta, p de d'allàl
Se fa es vespre, roman a s'hostal, p cansat p l
mort, se'n va a jeure. Tot d'una que ronca e-hi
comparex el dimoni, p li gira sa carta, P li posa:
—He dit p torn dir que la tregueu defora a
",NA
161,"162 RONDAYES MALLORQUINES
ella p s'infant. Mirau quin'hora vos ho dich: si en
jo venir, los hi trob, tots vos mat. Y be'm cone-
Xeu vos: som mès capés de ferho que de dirho.
Som jo que comant, axò man que fasseu. No vos
contestaré que no m'envieu a dir qu'e-hu heu fet.

Com sa mare veu aquesta carta, romp en plors,
p se va haver d'ajeure. No e-hi havia qui la po-
gués aconhortar.

eCom li havia de bastar cor de dir a sa nora lo
que passava, si l'estimava més que si los estada
una fia propia, si vepa que tothom estava elevat
amb ella, Ç sobre tot, amb aquell ninet seu, tan
hermós, just un xeratinet, Ç que la gent hep acudia
a forfollons per poderlo tenir en ses mans, mal-
dement no més fos una micopa2 Com li havia de
bastar cor de treure defora aquell angelet, aquell
netet seu, p sa mare, aquella santeta en vida, aque-
lla nora seua benvolguda2

Però se tepa precís cumplir ses ordes des com-

te, que no porien esser més clares p més esti-
rades.

No sabent com dirle-hi a sa nora, a la fi li en-
trega, tota plorant, aquella carta teresta, per que
ella matexa la llegís p se'n enterés.

— jjesús, ma mare, (diu la pobreta, com la va
haver lletgida), no ploreu per axò ni per altre
tantl iSi jo map me'n poria avenir qu'un senyor
tant gros p tant polent m'hagués volgudal No sé
com m'ha poguda sofrir tant de tempsi... gSabeu
",NA
162,"4 l
SA COMTESSA SENSE BRASSÓS 163
que farem2 Posaume una talequeta devant, p es
ninet dedins, p axí li poré donar mamar, Q me'n
tornaré a n'aquell bosch d'ont me va dur, Y ahont
vatx estar tant d'anps, sa més regalada del mont

Com la sentí sa comtessa vépa, llavò sí que n'
hi sabia de greu de que se'n hagués d'anar, però
no li quedú altre remep qu'allargarhi es coll.

Li feu una taleca amb una trencafila a's mitx,
a una part li posà s'infant p a s'altra un serró de
doblers, un boliquet de roba, p un parep de pans
y fils de sobrassades, p li passa sa taleca p'es
Coll.

Carregada d'aquella manera, sortí sa mesqui-
na de la ciutat, cap a n'aquell bosch.

Camina caminarós, p es ninet mama qui mama,
arribé a estar axuta de tot Ç a tastanetjar.

Cansada p morta amb tant de pes que dupa, p
abrasada de set, troba un pou, amb un'apgo ben
clara, però sense corda ni poal ni ningú per allí
que hi entrés a treuren'hi un glopet per remuparse
una mica sa boca,

—3O, Si jo pogués arribar a n'aquesta apgol
(depa ella guaptant dins es pou). jO, si jo e-hi
arribúsi Beuria a voler, p cobraria lorses per pas-
sar envant.

Tantes ganes li fepa aquella apgo, p tant e-hi
guaptava, que s'acalà un poch massa, P es nine-
li surt de sa taleca, p li cau dins es pou.

—ijVerge Santissimetal iMare meua estima-
",NA
163,"164 RONDAYES MALLORQUINES
dissimal—diu ella fent un crit esglapador, p cup-
dant a perdre's seny. Si heu de fer un miracle per
mi, jara es s'horal jSi sou mare meua Y jo som
fia vostra, valeume, Reyna P gran senporal

Encara no hu va haver dit, com s'apgo des
pou, justifet un'olla qui pren es bull, ja es partida
a pujar P a pujar, p es ninet que sSurava, surava
sonrient.

Aviat s'apgo fou tan amunt, que ja vessava
per dalt es coll.

—3O, Si ara tenia's brassos sencersi —digué
la pobreta, P allargú's dos trossos que li havien
quedats.

Allargarlos p sortirli's trossos que li faltaven p
ses mans, fonch tot u.

Ja hu crech que pega grapada a n'es nin més
que depressa, l'estreng demunt es cor ben fort, P
el se cupda a menjar de besades.

Feu millons de gracies a n'el Bon Jesús p a la
Purissimeta, per aquell miracle tant gros qu'ha-
vien obrat per ella, Y los oferi una volta més es
seu fió.

Pensú una estona quin camí havia de prendre.
Amb sa malicia qu's seu homo demostrava a sa
carta, cregué que lo millor seria anarse'n ben en-
fora, per lo que pogués esser.

Camina caminarós, arriba a una ciutat. A s'en-
trada e-hi havia un grandiós convent, Y just de-
vant, una caseta, p en es portal una dona que
filava.
",NA
164,"SA COMTESSA SENSE BRASSOS 165
Entra a l'esglèsia, opex un entilap de misses.
Com no'n sortiren pus, Sortí ella, p encara hi h / É
havia en es portal d'aquelles casetes sa metexa /
dona que filava. es rel l
A n-aquesta li vengué de nou aquella jove es- — /
terna, tan gentil p senyorívola, amb aquell ninet I — SE
com el sol. El
Ja hu crech que no pogué estar que no hi anés — / I
a demanarli de noves per sebre qui era, d'ont ve- j I :
nia, p que cercava per allà. lj
Sa jove le hi conté tot, p ella va dir: Li I
—Fieta meua, si vols estar amb mi, me faràs V I
un bon favor. Jo rent Sa roba a n-es frares d'aquest
convent, com sontants, e-hi ha fepna bé per
totes dues. l'assegur que estaríem ben bé, plega-
detes com a dues germanes.
E-hi va quedar, p com a dues germanes foren
sempre. Map tengueren mitja parauleta de res.
Y es nin al punt va esser grandet, p sempre
era amb sos frares, que li mostraren de lletra p
de servir missa, p el feren escolanet.
Des cap de set anps,es comte torna de la guerra.
Arriba a ca-seva, Y no hi troba sa dona ni
s'infant.
Prengué una volada feresta.
Sa mare per tota resposta li presenta ses dues
cartes qu'havia rebudes d'ell.
— çEscrigueres axò (diu ella), p ara te'n
vens amb aquestes2
T. l—IIe
",NA
165,"166 RONDAYES MALLORQUINES
Es comte les se mira, p queda sense polsos.

—Es ver (digué), qu'axò es just sa meua lle-

tra, però més ver es encara que jo no he escrita

— una tal cosa, sinó tot lo contrari. Jo lo que vatx
escriure per dues vegades, que la regositjàsseu, a
ella p s'infant, fos lo que fos. AXÒò p no pus vatx
escriure jo, com vos m'enviàreu a dir que no sa- — :
bíeu s'infant Si era animal o criatura, Y que tothom
malpariava de sa mare, que depen que no poria
esser més qu'una polissona p que vos no volíeu
estar pus amb ella.

—gJo enviava a dir axòP — clamó sa comtessa
véypa, tota astorada.

—Sí, aXÒò, —respòn es comte.

—Jo no vatx escriure tal cosa (diu sa mare).
eCom e-hu ""via d'escriure, si era tot lo contra-
fiP gsi's nin era com un sol, que negú map en ""via
vist cap de tan hermósP gsi tothom estava ele-
vat amb sa mare, p tots se clamaven ditxosos de
tenirla per senpora2 4si beneien s'hora que t'hi
eres casat2 çCom havia d'enviar a dir que no vo-
lia estar amb ella, si l'estimava més que si fos es-
tada fia propi2 :

Si confús estava un, més e-hi estava s'altre,
p no hi sabien dar volta, sobre lo que poria esser
estat allò.

—çg Y cap aont va prendre2 (diu es comte a
la fi).

—Cap a n-es metex bosch aont l'havies tro-
bada (diu sa mare). -
",NA
166,"SA COMTESSA SENSE BRASSOS 167

—lIdò me'n vatx ara metex, Pno tornaré que
no torn amb ella p amb s'infant.

Pega bot demunt es cavall, p partex més
que depressa cap a. n-aquell bosch. l

El tresca tot, p no va veure un únima ni afinà
rastre de res.

—Sobre tot (diu ell), trescaré fins que l'hapa
trobada. Si no la trob, trescaré fins que capga
mort.

Y ja fonch partit, tresca qui tresca camps, vi-
les p ciutats, V. camps, viles p ciutats, demanant
indicis a tothom que vepa.

Negú n'hi Sabia donar.

No més trobú un pastoret que li digué que se
recordava d'haverne vista una de dona, lepa molt ç
de temps, que no'n tenia de brassos, p que'n dupa
un de nin que resplandia d'hermós qu'era. Pero
no li va sebre dir res pus.

L'homo seguí, tresca qui tresca.

Des cap de temps, arriba a una ciutat.

Just a s'entrada afina un grandiós convent, ll
amb una caseta devant, p dues dones, una més jo-
ve que s'altra, que filaven en es portal.

Era'l dematí, sent tocar una missa, p diu a
n-aquelles dones:

—Germanetes, sno'm dexaríeu fermar es ca:
vall aquí, P aniria a n-aquesta missa que toquen2

—Sí, senyor, (digueren elles).

Sa més jove li clava la vista, p el conex:
",NA
167,"168 RONDAYES MALLORQUINES
—qja estam perdutsi (diu amb ella metexa).
(Es ell que mos cerca per matarmosi... iNo res,
serú lo que Deu voldràl... jiPurissimeta Verge,
mare meua amantíssima, no mos desampareul
Es comte se'n entra dins l'esglèsia, surf sa
missa, V la servia un escolanet d'una onzena d'
anys, que tenia una cara com un xeralí P era com
un santet, En tot es temps de sa missa, ni alsé'ts
— ups ni's batega, més que per fer ses cerimònies
que pertocaven,
Es comte no havia vist servir una missa tant

— bé map. Més esment tengué a n-es servidor que a
n-es frare qui la depa. I

Y en sortí un'altra, p la serví's metex esco-
lanet, P, si bé havia servida sa primera, millor ser-
ví sa segona.

Y totes ses que sortiren, les serví ell metex,
sense desmapar un punt.

Es comte hauria jurat qu'allò era un angelet
del cel, que Deu havia enviat per que servís ses
misses axí com toca servirles.

Mentres sortiren misses, es comte no's va
moure.

: Com va veure que ja no'n sortien pus, sortí
ell amb un cap com una ferrada, sens poderse ave-
nir d'aquell escolanet.

Tot d'una qu'es a defora, p veu ses dues do-
nes que li havien dexat fermar es cavall a sa seua
carrera, ja los ne parla:
",NA
168,"SA COMTESSA SENSE BRASSOS 169
—jO, germanetes, quin escolanet que hi ha
en aquest conventl iNo'n 'via vist cap map, ni es
possible que n'hi hapa un de consemblantl j Allò
no es un al'lotl jallò es un àngel en carn humanal /
—qJa es es teul (diu sa vepa a sa jove).
En aquest entremitx se presenta s'allotó, lo
més xaravel/io.
—iVeltaquíl (elama's comte). -jAquest est...
iDitxosa vos, si sou sa marel(diu, girat a sa jove.)
Sa jove a l'acte agafa s'allotó pe'sa mé, p li
diu:
— Guiemet, besa ses mans a ton pare. :
Es comte romangué sense polsos.
—IjAXÒ no pot esserl (diu cridant), jSa meua I
dona no tenia brassosl
Aquí ella los s'arromanga fins ben amunt, p los
hi mostra: tenien una costura a n-es colzos, per tot ,
lo redó. Se conexia qu'eren estats tapats, Y los
havien contegits.
Es comte va veure ben clar qu'allò era sa seua
dona, P aquell al:lotó es seu fip.
S'abrassaren tots tres, p cupdaren a fer up,
d'alegria p de gaubansa.
Es nin volgué quedar per frare d'aquell con-
vent, p fonch Sent Guiem.
Son pare p sa mare se'n anaren a ca-seua, p
visqueren en pau p alegria, anys p més anps, fins
que foren morts.
Y al cel mos vejem tots plegats. Amen.
",NA
169,"ELL LL LES
ES POAL FLORIT Ò I
—ra 4) DO EQ (lira
XÒ era un capità de lladres que allú ont
quepa amb sa seua companpia fepa matx.
Se'n anava a confessar axí metex una
volta en l'anp, però, com es confés lo primer que
li depa, era que no'l poria absoldre si no dexava
aquella vida, se trepa un punyal, Y matava's confés.
AXÒ se va estendre, P arribà que no trobava
cap capellà que'l volgués admetre a confessió.
Un anp, devers el Ram, se presenta a sa porte-
ria d'un convent, demanant per confessarse.
Es llech el conegué, P se'n va corrents y tot
retgirat a ferho a sebre a n-es Prior.
Es Prior, tot confús, erida's frares p los diu:
 —Fiets, ara mos trobam amb aquestes.
(1) La'm conté la meua tia Juana Maria Alcover, de Mana-
cor, al cel sia ella,
h
",NA
170,"a TE A PN
ES POAL FLORIT 171
Si voleu que hi vapa jo (respòn un), di-
gauho, p veureu que de prest l'hauré enllestit.
—Però 4y que no veps que vos mataróP (diu es
Prior).
—No tengueu ansil yja me'n destarél I
Es Prior arribà a dit que sí p es frare ja es
partit. Se'n mena's lladre a n-es confessionari, el
fa agenoyar, p ell s'asseu p li diu:
—Vapa, tu meteix diguès tot quant tens... s
jarreu p fora amagatetjonsi
Es lladre comensa a descapdellar, Y, fins que
hagué acabat, es confés no badà boca.
Llavò li demanà:
—Tens res pus de qu'acusarteP
— No, pare, —respòn ell, p ja tenia es punpal
amb ses mans per ferlo servir, segur com estava
de que li diria:—No't puch absoldre.
Es seus contes foren errats, perqu'es frare no
li digué més paraules qu'aquestes:
—Ja estés llest, te'n pots anar. Sa penitenci
que't don, es que Jo que no vols per tu, no hu
vuyes per negú.
Es frare s'axeca, p se'n va, p el me dexó tot
abillat, sense sebre per ont prendre, tant de nou
li vengué aquella penitència.
A la fi s'estoja's punyal, p ja es partit cap a
sa Còva.
Camina caminarés, p pensa qui pensa amb
aquelles paraules: Jo que no vols per tu, no hu vu-
",NA
171,"172 RONDAYES MALLORQUINES
ves per negú, no les se poria treure des cap, per
via ninguna, P no es que no hu provés de bon de
veres.

Arriba a sa còva, p es companys ja conegue-
ren que dupa cosa.

Li demanaren si hi havia res de nou, si no es-
tava bo: va respondre que'l dexassen fer, p no li
pogueren treure altra paraula.

i Aquell dia, no tastà res ni se mirà negú de
cara.

— 4 Y que no hem de sortir. anitP —li demana-
ren es companps, com vengué sa fosca.

—Jo no estich per res (diu ell). Feps lo que
volgueu, mentres me dexeu en pau

Era que l'homo, aont se vupa se girús, vepa
escrites, resplandents com a vergues de llamp,
aquelles paraules: /o que no vols per tu, no hu
vuyes per negú, Y allò el tenia acovardat de tot.

—ç Com he d'anar a prendre lo d'altri (se de-
ya a ell metex), Si jo no vug que'm toquen lo
meuP

Es companps se'n anaren a pegar un salt a una
possesió que fepa temps tenien alupada.

Ell, tot solet dins sa cova, arribà a estar tan
mal a pler, tant fort li ponyien p li roegaven sa
conciència sa mala fi de crims Y atentats qu'ha-
via comesos en tants d'anps d'esser capità de lla-
dres, que no pogué pus, p fogí més que depressa
Cap a n-aquell convent aont s'era confessat,
",NA
172,"ES POAL FLORIT 173 I
E-hi arriba sa dematinada, toca, li obrin, De-
mana aquell frare, PV, com el se veu devant, li diu:
—Vos me donéreu per penitenci que lo que I
no volgués per mi no hu volgués per negú. Tot A
d'una no vatx veure aont anava a parar axò. Vatx
comensar a pensarhi, p les m'he aficades tant dins
es cap a n-aquestes paraules, que no les me puch l
treure, p vetx que no les puch observar si no dex
d'esser lo que som, lladre. Me som posat tan mal Di
a pler, que ja seria mort Si no futx de sa còva p
no dex aquest dimoni d'ofici. Ja l'he dexat: però
de tot p per a sempre, Y vench a fer una contessió
vertadera de tota sa meua vida, abans que la Jus-
tici me pos ses mans demunt p me penj, qu'es lo
que'm tench gonpat.
Es frare'l feu entrar, se'n va a n-es Prior a /
contarlehi, p varen compondre de tenirio amagat
un parep de dies, per que tengués temps de re- 3
passar bé seua sa conciència P de plorar es seus he
pecats.
E-hu feren axí, p l'homo se confessú de tota
sa vida, sense dexar res.
Com es confés va veure tants de pecats p tan
grossos p ferests, s'esclama:
—qTan possible es que Deu te perdón, com
que's poal des pou florescal )
A n-es lladre li entrà tan endins aquella parau-
la, que ni menjà ni begué de tot lo dia.
",NA
173,"174 RONDAYES MALLORQUINES

Lo'ndemú, grandiet, notaren que sa celleta
aont jepa, estava tancada.

Tocaren a Sa porta, no respongué. Obriren, p
el me trobaren mort dins es llit. /

Es dolor que tengué d'haver ofès Deu amb
tants de pecats, fonch tan viu, tan fort, que'l va
matar.

i Que me'n direu2 Ell un frare llech se'n anó a
treure apgo des pou, p me troba's poal tot florit,
amb unes flors lo més atepides, lo més fresques,

lo més fines, amb una oloreta que embalsamava,
just una olor del cel.

Aquell frare qu'havia confessat es lladre, llavò
se recordà que lí havia dit: tan possible es que
Deu te perdón, com qu'es poal des pou floresca.

Era que Deu l'havia perdonat.

4
",NA
174,"TI VIII Qi óÓ l

duu: l

I

UNA QUI NO VOLIA PASTAR 2 l

ses es I

l

4

XÒ era un homo que tenia sa dona molt /

caparruda, P ell que no fepa Veta tam- /

poch. l

Un dia que casi no hi hagué pa per dinar, ell /

diu: l l

—Dona, a veure si pastes demà. I

—Ja pastarús tu si tens pastera, respòn sa l

dona. : i

—No, ell serús tu, diu ell.

—Idò no hu seré, per molt que t'enravans. /

Ell, per capturarla, sabent lo xarradores que /

son ses dones, va dir: l

—No res, pastarú es qui primer diga cap pa- l

raula. . l
(1) La'm conté Na Juana Ayna Mayol y Sales, de Pollensa.
",NA
175,"176 RONDAYES MALLORQUINES

Ella amb so cap digué que sí.

Y allú los hauríeu vists tots dos boca closa tot
lo sant decapvespre p tota sa vel-lada, p Se'n ana-
ren a jeure, p s'adormiren sense haver dit res
pus.

Lo endemú dematí se desperten, però ni un ni
s'altra se mogueren de dins es llit ni provaren de
axicarse, per no veure negú y no caure en la ten-
tació de conversar.

Se feren les vupt, se feren les nou, se feu mitx
dia, V ells dos allargats dins es llit, amb s'esque- n

I na girada p boca closa, lo metex de morts.

Es veypnats, veent la casa tancada, comensen
a tenirne mal de ventre, Y a demanarse ells amb

ells si han reparat qu'obrissen Ò se'n anassen.

Negú los havia vists blanchs ni negres, ni ha-
via notat ni sentit qu'obrissen.

—i Que seria cosa qu'haguessen tengut cap
denou2 arribaren a dir es vepnats.

Se'n van a ses portes, P /ochi foch.

Negú respòn.
Tornen tocar més fort, Ç manco.

Se'n van a donar part a n-es bal-e.

Es bal-le s'entrega amb so serraller. Toca p
- torna tocar, però hi anaren ben alerta es dos

betzols a moure-se ni, a respondre, per no haver
. de pastar.

Es serraller aquí, d'orde des bal-le, afica uns
ganxets dins es panps, p obri.

7
",NA
176,")
UNA QUI NO VOLIA PASTAR 177 l
I
Se'n entren: no veuen ni senten negú. Se'n i
van dins sa cambra, P los me troben dins es llit, l
allargats, ups cluchs, alenant ben prim, fent es
mort. j
Bé los eridaren p los estamenetjaren: no los I
pogueren treure cap parauleta, ni ferlos obrir ets di
UPS ni res.
—ICal jcal diu es bal-le. Axò es que son morts. /
No res, amortapaulos abans de més raons, Y jcap a /
n-es cementeri a taparloS de terral Ç en sortirem. i l
éQue me'n direu2 Ell tant un com s'altre, per I
no badar boca, se dexaren amortapar Y posar dins
sa caxa, P consentiren que los se'n duguessen a I
n-es cementeri.
—jE-hu veurem qui seró que pastaràl depen sal
tots dos, entre sí meteps, com los se'n dupen. /
Com los tengueren en es cementeri, resultà Bel
que's fosser havia feta una gaveta p'es primer que I
li durien, p diu a n-es vupt portadors: i
—4iQue'ts enterram plegatsP I
— Ben pensatl diuen aquells: plegats en vida,
plegats en mort. Li
—No res, idò, dupslosme, diu es fosser. El
Los duen a sa gaveta, p un diu:
— gi Quin posam primer2 4
—S'homo, qu'es més fexuch, respòn es fos-
ser, /
Aquí. ell veent qu'anava de ver, no pogué
aguantar pus, Y diu tot rabent:
",NA
177,"178 — RONDAYES MALLORQUINES
—3A poch a pochl iNo vup jo estar devalll
—Idò tu pastarús, digué sa dona, tota remo-
lesta p axicantse de dins sa caxa.
Fosser p portadors fogiren com cent mil dian-
I tres, p es dos carronyes se'n anaren a ca-seua, P
ell hagué de pastar.
i
t
",NA
